time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-10-14T14:03:07.340Z,34.1305,-117.4223333,7,1.28,ml,36,63,0.09522,0.39,ci,ci37279032,2014-10-14T14:07:05.300Z,"4km NNE of Fontana, California",earthquake
2014-10-14T13:35:17.610Z,36.0195007,-120.5821686,2.89,1,md,8,139,0.03828,0.11,nc,nc72327016,2014-10-14T13:51:07.291Z,"24km WSW of Coalinga, California",earthquake
2014-10-14T13:21:52.180Z,38.8180008,-122.8284988,2.99,0.46,md,9,113,0.009135,0.02,nc,nc72327006,2014-10-14T13:37:05.704Z,"7km NW of The Geysers, California",earthquake
2014-10-14T13:20:38.600Z,19.4042,-155.2668,2.2,1.9,Ml,,72,0.00898315,0.36,hv,hv60789991,2014-10-14T13:26:26.007Z,"4km SW of Volcano, Hawaii",earthquake
2014-10-14T13:06:21.880Z,32.8941667,-116.2505,8.56,1.02,ml,15,131,0.02162,0.34,ci,ci37279024,2014-10-14T13:10:20.754Z,"27km ENE of Pine Valley, California",earthquake
2014-10-14T13:04:34.400Z,19.2436,-68.2283,66,3.5,Md,15,331.2,1.30974368,0.43,pr,pr14287000,2014-10-14T13:39:30.095Z,"75km NNE of Punta Cana, Dominican Republic",earthquake
2014-10-14T13:02:10.880Z,38.8214989,-122.765831,2.45,1.11,md,17,80,0.009509,0.03,nc,nc72327001,2014-10-14T13:16:08.499Z,"3km W of Cobb, California",earthquake
2014-10-14T12:47:50.000Z,63.2603,-151.0413,10.4,2.6,ml,,,,0.82,ak,ak11418303,2014-10-14T13:15:42.261Z,"105km W of Cantwell, Alaska",earthquake
2014-10-14T12:27:23.870Z,12.429,-88.1287,35,4.6,mb,,143,0.777,1.2,us,usb000sm19,2014-10-14T12:54:01.591Z,"81km WSW of Jiquilillo, Nicaragua",earthquake
2014-10-14T12:12:20.930Z,37.475666,-118.7819977,7.48,1.53,md,16,159,0.04947,0.03,nc,nc72326991,2014-10-14T12:40:04.608Z,"26km SE of Mammoth Lakes, California",earthquake
2014-10-14T12:10:14.260Z,38.8204994,-122.9226685,3.97,0.82,md,7,191,0.01979,0.01,nc,nc72326986,2014-10-14T12:25:03.010Z,"8km ENE of Cloverdale, California",earthquake
